comp,eventId,rTypeId,pos,personName,wcaId,best,average
DoncasterOpen2020,333,d,82,Dylan Manning,2020MANN01,19.78,24.52
DoncasterOpen2020,333,d,83,Gregory Berrisford Sweet,2020SWEE01,22.13,24.79
DoncasterOpen2020,333,d,84,Reuben Wilson,2019WILS04,16.06,24.86
DoncasterOpen2020,333,d,85,Alexander Snowball,2020SNOW03,22.15,25.12
DoncasterOpen2020,333,d,86,Timothy Lawrance,2017LAWR04,15.79,25.69
DoncasterOpen2020,333,d,87,Darcy Hewson,2019HEWS01,21.1,25.98
DoncasterOpen2020,333,d,88,Vaivaswat Ghose,2020GHOS02,21.35,26.38
DoncasterOpen2020,333,d,89,Charlie Dearsley,2019DEAR01,24.53,26.9
DoncasterOpen2020,333,d,90,Pierre Henry Fernand Pihan Silcock,2020SILC01,26.04,26.98
DoncasterOpen2020,333,d,91,Abhinav Krishnan,2020KRIS04,23.12,27.5
DoncasterOpen2020,333,d,92,Calum Griffiths,2020GRIF01,22.63,27.67
DoncasterOpen2020,333,d,93,Archie Brighton,2020BRIG01,23.36,28.27
DoncasterOpen2020,333,d,94,Matthew Wardle,2020WARD03,26.0,28.6
DoncasterOpen2020,333,d,95,Christopher Suter,2020SUTE01,24.88,29.27
DoncasterOpen2020,333,d,96,Mustafa Shahzad,2020SHAH11,24.2,29.47
DoncasterOpen2020,333,d,97,Tyler Lloyd,2015LLOY02,25.11,29.81
DoncasterOpen2020,333,d,98,Joseph Zaccaria,2019ZACC01,23.99,30.1
DoncasterOpen2020,333,d,99,Harish Balakumar,2019BALA10,24.48,30.28
DoncasterOpen2020,333,d,100,Dominic Curtis,2020CURT02,21.21,30.68
DoncasterOpen2020,333,d,101,Andrea Javier,2010JAVI01,27.97,30.94
DoncasterOpen2020,333,d,102,Thomas Feilden,2020FEIL01,23.71,31.18
DoncasterOpen2020,333,d,103,Alex Denny,2020DENN01,30.01,33.0
DoncasterOpen2020,333,d,104,Chris Bonnello,2019BONN05,31.81,33.55
DoncasterOpen2020,333,d,105,Jack Mitchell,2020MITC02,28.42,34.13
DoncasterOpen2020,333,d,106,Theo Guthrie,2020GUTH01,30.85,34.81
DoncasterOpen2020,333,d,107,Jack Doran,2020DORA01,29.98,35.62
DoncasterOpen2020,333,d,108,Alfie Whitehill,2020WHIT09,30.34,36.05
DoncasterOpen2020,333,d,109,Jakob Yau,2020YAUJ01,33.35,38.97
DoncasterOpen2020,333,d,110,Alfie Scott,2019SCOT03,34.05,39.42
DoncasterOpen2020,333,d,111,Alex Heap,2020HEAP01,32.13,39.92
DoncasterOpen2020,333,d,112,Tyler Akers,2020AKER02,38.75,44.87
DoncasterOpen2020,333,d,113,Rowan James Lodge,2019LODG02,38.03,45.01
DoncasterOpen2020,333,d,114,Harry Latham,2020LATH01,42.06,46.1
DoncasterOpen2020,333,d,115,Jake William Shepherdson,2020SHEP01,39.49,51.15
DoncasterOpen2020,333,d,116,Fraser Griffiths,2020GRIF02,44.06,55.52
DoncasterOpen2020,333,d,117,Christopher Gatfield,2020GATF01,54.71,59.69
DoncasterOpen2020,333,d,118,Aidan Chrispin,2020CHRI03,54.35,61.05
DoncasterOpen2020,333,d,119,Oliver Weaver,2020WEAV01,44.82,61.24
DoncasterOpen2020,333,d,120,Hoi San Tse,2020TSEH01,50.25,62.13
DoncasterOpen2020,333,d,121,Ying Hao Seyhan,2020SEYH01,72.75,74.62
DoncasterOpen2020,333,2,1,Sebastian Weyer,2010WEYE02,6.34,7.4
DoncasterOpen2020,333,2,2,Chris Mills,2014MILL04,5.91,7.56
DoncasterOpen2020,333,2,3,Daniel Tidsey,2016TIDS01,7.47,7.87
DoncasterOpen2020,333,2,4,Sean Moran,2016MORA24,6.73,8.1
DoncasterOpen2020,333,2,5,Fabio Schwandt,2014SCHW02,7.48,8.49
DoncasterOpen2020,333,2,6,Harry Savage,2013SAVA01,8.67,9.15
DoncasterOpen2020,333,2,7,Breandan Vallance,2007VALL01,8.75,9.19
DoncasterOpen2020,333,2,8,Robert Yau,2009YAUR01,8.34,9.26
DoncasterOpen2020,333,2,9,Katie Davies,2017DAVI03,8.28,9.41
DoncasterOpen2020,333,2,10,Jacob Chambers,2017CHAM09,8.45,9.44
DoncasterOpen2020,333,2,11,Charlie Harrison,2017HARR08,8.61,9.45
DoncasterOpen2020,333,2,12,Steven Kearns,2015KEAR01,7.94,9.46
DoncasterOpen2020,333,2,13,Matthew Lowe,2014LOWE01,7.82,9.72
DoncasterOpen2020,333,2,14,Bart Sekulski,2013SEKU01,8.33,10.28
DoncasterOpen2020,333,2,15,Oliver Castledine,2018CAST08,9.05,10.43
DoncasterOpen2020,333,2,16,Stephen Waller,2017WALL12,9.28,10.47
DoncasterOpen2020,333,2,17,James Molloy,2011MOLL01,9.87,10.67
DoncasterOpen2020,333,2,18,Christopher Morris,2013MORR03,9.66,10.84
DoncasterOpen2020,333,2,19,Brandon Poulton,2019POUL02,10.33,11.02
DoncasterOpen2020,333,2,20,Bill Hammill,2015HAMM01,10.33,11.29
DoncasterOpen2020,333,2,21,Marcus Siu,2016SIUM01,10.13,11.31
DoncasterOpen2020,333,2,22,Ben Stokes,2018STOK01,10.23,11.31
DoncasterOpen2020,333,2,23,Joey Gouly,2007GOUL01,10.47,11.32
DoncasterOpen2020,333,2,24,Joseph Tudor,2016TUDO02,9.76,11.38
DoncasterOpen2020,333,2,25,Callum Hales-Jepp,2012HALE01,10.26,11.55
DoncasterOpen2020,333,2,26,William Gan Wei Ren (颜伟仁),2014RENW01,11.04,11.68
DoncasterOpen2020,333,2,27,Fred Lang,2016LANG12,11.06,11.72
DoncasterOpen2020,333,2,28,Robert Alden,2019ALDE01,8.24,11.81
DoncasterOpen2020,333,2,29,Jason Harley,2016HARL01,9.7,11.94
DoncasterOpen2020,333,2,30,Sam Jacklin,2015JACK04,11.09,11.98
DoncasterOpen2020,333,2,31,Oliver Wheat,2016WHEA01,10.44,12.21
DoncasterOpen2020,333,2,32,Jonathan Ayre,2018AYRE01,11.14,12.21
DoncasterOpen2020,333,2,33,Charlie Stark,2014STAR05,11.47,12.43
DoncasterOpen2020,333,2,34,Deni Mintsaev (Дени Минцаев),2013MINT01,10.57,12.5
DoncasterOpen2020,333,2,35,Ben Thomas Campbell,2018CAMP17,11.69,12.52
DoncasterOpen2020,333,2,36,Benjamin Grzesiak,2018GRZE01,11.93,12.72
DoncasterOpen2020,333,2,37,Matthew Ayre,2018AYRE02,10.78,13.0
DoncasterOpen2020,333,2,38,Cassius Finn Gregory,2020GREG02,12.03,13.43
DoncasterOpen2020,333,2,39,Pierre Morice-Le Moel,2017MOEL01,10.62,13.65
DoncasterOpen2020,333,2,40,Matthew Prestwich,2016PRES04,12.59,13.71
DoncasterOpen2020,333,2,41,Aidan McMillan,2018MCMI02,11.63,13.73
DoncasterOpen2020,333,2,42,Bertie Longden,2014LONG06,12.23,13.8
DoncasterOpen2020,333,2,43,Tom Wilkinson,2019WILK04,12.95,13.95
DoncasterOpen2020,333,2,44,Christian Harris,2019HARR08,13.15,14.25
DoncasterOpen2020,333,2,45,Cheung-Hao Tu,2016TUCH02,12.99,14.44
DoncasterOpen2020,333,2,46,Ryan Eckersley,2019ECKE02,13.72,14.45
DoncasterOpen2020,333,2,47,Jack O'Callaghan,2019OCAL01,13.89,14.81
DoncasterOpen2020,333,2,48,Mengfei Shen (沈梦非),2018SHEN07,13.53,15.05
DoncasterOpen2020,333,2,49,Jack Adams,2019ADAM02,13.7,15.46
DoncasterOpen2020,333,2,50,Sam Spendla,2015SPEN01,13.77,15.47
DoncasterOpen2020,333,2,51,William Turton,2018TURT01,13.99,15.83
DoncasterOpen2020,333,2,52,Ezra Hirschi,2019HIRS01,14.33,16.0
DoncasterOpen2020,333,2,53,Aaron Storr,2019STOR01,13.92,16.07
DoncasterOpen2020,333,2,54,George Tudor,2019TUDO01,12.56,16.59
DoncasterOpen2020,333,2,55,Chun-Ting Liu (劉淳庭),2013LIUC02,14.18,16.6
DoncasterOpen2020,333,2,56,Harrison Lee,2018LEEH02,11.16,16.64
DoncasterOpen2020,333,2,57,Sam Shaw,2016SHAW02,14.37,16.83
DoncasterOpen2020,333,2,58,Theo Proferes,2019PROF01,15.58,16.9
DoncasterOpen2020,333,2,59,Xinnan Ye (叶新楠),2009YEXI01,14.16,16.97
DoncasterOpen2020,333,2,60,Oliver Jepson,2019JEPS01,14.11,17.43
DoncasterOpen2020,333,2,61,Luke McRitchie,2019MCRI01,14.69,17.52
DoncasterOpen2020,333,2,62,Matthew Dodds,2020DODD02,15.46,17.53
DoncasterOpen2020,333,2,63,Patrick Drew Dwyer,2019DWYE01,15.65,17.68
DoncasterOpen2020,333,2,64,Matthew Ellis,2020ELLI02,13.99,18.02
DoncasterOpen2020,333,2,65,Thomas Lawson,2019LAWS02,17.32,18.36
DoncasterOpen2020,333,2,66,Andy Nicholls,2015NICH04,18.56,19.29
DoncasterOpen2020,333,2,67,Nicholas Archer,2020ARCH01,16.42,19.38
DoncasterOpen2020,333,2,68,Joe Greenland,2019GREE02,17.57,19.95
DoncasterOpen2020,333,2,69,Lucas Jarana,2019JARA03,19.59,20.44
DoncasterOpen2020,333,2,70,Danny Morgan,2019MORG10,17.07,20.53
DoncasterOpen2020,333,2,71,Toby Roche,2020ROCH03,13.67,20.59
DoncasterOpen2020,333,f,1,Sebastian Weyer,2010WEYE02,6.2,7.16
DoncasterOpen2020,333,f,2,Chris Mills,2014MILL04,7.33,7.68
DoncasterOpen2020,333,f,3,Fabio Schwandt,2014SCHW02,7.15,8.24
DoncasterOpen2020,333,f,4,Harry Savage,2013SAVA01,7.67,8.58
DoncasterOpen2020,333,f,5,Katie Davies,2017DAVI03,6.59,8.83
DoncasterOpen2020,333,f,6,Charlie Harrison,2017HARR08,7.59,9.0
DoncasterOpen2020,333,f,7,Daniel Tidsey,2016TIDS01,7.88,9.04
DoncasterOpen2020,333,f,8,Robert Yau,2009YAUR01,8.47,9.15
DoncasterOpen2020,333,f,9,Sean Moran,2016MORA24,8.42,9.31
DoncasterOpen2020,333,f,10,Breandan Vallance,2007VALL01,8.98,9.58
DoncasterOpen2020,333,f,11,Joseph Tudor,2016TUDO02,9.39,9.93
DoncasterOpen2020,333,f,12,Oliver Castledine,2018CAST08,9.46,10.14
DoncasterOpen2020,333,f,13,Stephen Waller,2017WALL12,8.57,10.22
DoncasterOpen2020,333,f,14,Jason Harley,2016HARL01,9.11,10.85
DoncasterOpen2020,333,f,15,Jacob Chambers,2017CHAM09,8.85,10.87
DoncasterOpen2020,333,f,16,Matthew Lowe,2014LOWE01,9.47,10.88
DoncasterOpen2020,333,f,17,Bill Hammill,2015HAMM01,9.23,10.9
DoncasterOpen2020,333,f,18,Christopher Morris,2013MORR03,9.99,11.17
DoncasterOpen2020,333,f,19,Callum Hales-Jepp,2012HALE01,9.73,11.18
DoncasterOpen2020,333,f,20,Steven Kearns,2015KEAR01,9.82,11.2
DoncasterOpen2020,333,f,21,Marcus Siu,2016SIUM01,8.59,11.32
DoncasterOpen2020,333,f,22,Robert Alden,2019ALDE01,9.96,11.36
DoncasterOpen2020,333,f,23,Jonathan Ayre,2018AYRE01,10.68,11.39
DoncasterOpen2020,333,f,24,Joey Gouly,2007GOUL01,10.45,11.47
DoncasterOpen2020,333,f,25,Bart Sekulski,2013SEKU01,8.86,11.54
DoncasterOpen2020,333,f,26,Brandon Poulton,2019POUL02,10.14,11.92
DoncasterOpen2020,333,f,27,Ben Stokes,2018STOK01,10.27,12.25
DoncasterOpen2020,333,f,28,James Molloy,2011MOLL01,10.45,12.49
DoncasterOpen2020,333,f,29,William Gan Wei Ren (颜伟仁),2014RENW01,11.15,12.53
DoncasterOpen2020,333,f,30,Sam Jacklin,2015JACK04,10.7,12.56
DoncasterOpen2020,333,f,31,Oliver Wheat,2016WHEA01,11.64,13.23
DoncasterOpen2020,333,f,32,Fred Lang,2016LANG12,10.73,13.53
DoncasterOpen2020,222,d,1,Charlie Harrison,2017HARR08,1.23,2.43
DoncasterOpen2020,222,d,2,Callum Hales-Jepp,2012HALE01,1.59,2.61
DoncasterOpen2020,222,d,3,Daniel Tidsey,2016TIDS01,2.42,2.77
DoncasterOpen2020,222,d,4,Charlie Stark,2014STAR05,2.12,2.79
DoncasterOpen2020,222,d,5,Ben Stokes,2018STOK01,1.69,2.8
DoncasterOpen2020,222,d,6,Harry Savage,2013SAVA01,2.17,2.8
DoncasterOpen2020,222,d,7,Bill Hammill,2015HAMM01,2.42,3.02
DoncasterOpen2020,222,d,8,Fabio Schwandt,2014SCHW02,2.07,3.03
DoncasterOpen2020,222,d,9,Robert Alden,2019ALDE01,2.86,3.15
DoncasterOpen2020,222,d,10,Benjamin Grzesiak,2018GRZE01,2.89,3.17
DoncasterOpen2020,222,d,11,Joseph Tudor,2016TUDO02,2.05,3.21
DoncasterOpen2020,222,d,12,Sean Moran,2016MORA24,2.97,3.4
DoncasterOpen2020,222,d,13,Chris Mills,2014MILL04,2.86,3.5
DoncasterOpen2020,222,d,14,Marcus Siu,2016SIUM01,3.03,3.86
DoncasterOpen2020,222,d,15,William Gan Wei Ren (颜伟仁),2014RENW01,3.81,3.98
DoncasterOpen2020,222,d,16,Ivan Lew Yi Wen (刘义文),2012WENI01,3.17,4.02
DoncasterOpen2020,222,d,17,Oliver Castledine,2018CAST08,3.22,4.02
DoncasterOpen2020,222,d,18,Ben Thomas Campbell,2018CAMP17,2.01,4.13
DoncasterOpen2020,222,d,19,Oliver Wheat,2016WHEA01,2.35,4.18
DoncasterOpen2020,222,d,20,Fred Lang,2016LANG12,3.69,4.21
DoncasterOpen2020,222,d,21,Harrison Lee,2018LEEH02,3.04,4.31
DoncasterOpen2020,222,d,22,Robert Yau,2009YAUR01,3.01,4.33
DoncasterOpen2020,222,d,23,Jonathan Ayre,2018AYRE01,3.53,4.36
DoncasterOpen2020,222,d,24,Jacob Chambers,2017CHAM09,1.9,4.49
DoncasterOpen2020,222,d,25,Steven Kearns,2015KEAR01,4.2,4.53
DoncasterOpen2020,222,d,26,Bertie Longden,2014LONG06,4.43,4.58
DoncasterOpen2020,222,d,27,Matthew Ayre,2018AYRE02,3.8,4.64
DoncasterOpen2020,222,d,28,Katie Davies,2017DAVI03,3.34,4.67
DoncasterOpen2020,222,d,29,Jason Harley,2016HARL01,4.19,4.76
DoncasterOpen2020,222,d,30,Matthew Prestwich,2016PRES04,3.96,4.84
DoncasterOpen2020,222,d,31,Stephen Waller,2017WALL12,2.71,4.86
DoncasterOpen2020,222,d,32,Joey Gouly,2007GOUL01,3.94,4.88
DoncasterOpen2020,222,d,33,Deni Mintsaev (Дени Минцаев),2013MINT01,4.31,4.88
DoncasterOpen2020,222,d,34,Tom Wilkinson,2019WILK04,2.57,5.0
DoncasterOpen2020,222,d,35,Sam Jacklin,2015JACK04,4.34,5.03
DoncasterOpen2020,222,d,36,Joe Greenland,2019GREE02,3.25,5.1
DoncasterOpen2020,222,d,37,Danny Morgan,2019MORG10,3.43,5.1
DoncasterOpen2020,222,d,38,Jack Adams,2019ADAM02,4.52,5.16
DoncasterOpen2020,222,d,39,Brandon Poulton,2019POUL02,4.97,5.32
DoncasterOpen2020,222,d,40,Patrick Drew Dwyer,2019DWYE01,3.72,5.48
DoncasterOpen2020,222,d,41,Pierre Morice-Le Moel,2017MOEL01,2.77,5.51
DoncasterOpen2020,222,d,42,Cassius Finn Gregory,2020GREG02,3.98,5.57
DoncasterOpen2020,222,d,43,William Turton,2018TURT01,5.35,5.57
DoncasterOpen2020,222,d,44,Mengfei Shen (沈梦非),2018SHEN07,5.45,5.72
DoncasterOpen2020,222,d,45,Oliver Jepson,2019JEPS01,4.39,5.73
DoncasterOpen2020,222,d,46,Ezra Hirschi,2019HIRS01,4.39,5.79
DoncasterOpen2020,222,d,47,Toby Roche,2020ROCH03,4.84,5.8
DoncasterOpen2020,222,d,48,Sam Shaw,2016SHAW02,5.56,5.81
DoncasterOpen2020,222,d,49,Mohamed Hani Shahin,2019SHAH22,5.16,5.91
DoncasterOpen2020,222,d,50,Matthew Lowe,2014LOWE01,3.87,5.92
DoncasterOpen2020,222,d,51,Reuben Wilson,2019WILS04,3.92,5.97
DoncasterOpen2020,222,d,52,George Tudor,2019TUDO01,4.46,6.01
DoncasterOpen2020,222,d,53,Timothy Lawrance,2017LAWR04,3.86,6.03
DoncasterOpen2020,222,d,54,Cheung-Hao Tu,2016TUCH02,4.79,6.05
DoncasterOpen2020,222,d,55,Matthew Ellis,2020ELLI02,5.05,6.11
DoncasterOpen2020,222,d,56,Ryan Eckersley,2019ECKE02,3.55,6.14
DoncasterOpen2020,222,d,57,Charlie Dearsley,2019DEAR01,4.54,6.19
DoncasterOpen2020,222,d,58,Christopher Morris,2013MORR03,4.37,6.2
DoncasterOpen2020,222,d,59,Matthew Dodds,2020DODD02,4.83,6.31
DoncasterOpen2020,222,d,60,Sam Spendla,2015SPEN01,5.23,6.35
DoncasterOpen2020,222,d,61,Edward Scholey,2020SCHO03,5.35,6.35
DoncasterOpen2020,222,d,62,Jack O'Callaghan,2019OCAL01,3.87,6.42
DoncasterOpen2020,222,d,63,Christian Harris,2019HARR08,5.08,6.44
DoncasterOpen2020,222,d,64,Theo Proferes,2019PROF01,4.66,6.55
DoncasterOpen2020,222,d,65,Aidan McMillan,2018MCMI02,5.78,6.61
DoncasterOpen2020,222,d,66,Daniel Billingham,2018BILL03,4.9,6.65
DoncasterOpen2020,222,d,67,Tyler Akers,2020AKER02,5.83,6.67
DoncasterOpen2020,222,d,68,Harish Balakumar,2019BALA10,6.0,6.71
DoncasterOpen2020,222,d,69,Nicholas Archer,2020ARCH01,4.68,7.0
DoncasterOpen2020,222,d,70,Darcy Hewson,2019HEWS01,5.41,7.12
DoncasterOpen2020,222,d,71,Thomas Lawson,2019LAWS02,5.28,7.16
DoncasterOpen2020,222,d,72,Archie Brighton,2020BRIG01,6.02,7.21
DoncasterOpen2020,222,d,73,Aaron Storr,2019STOR01,5.8,7.35
DoncasterOpen2020,222,d,74,Theo Guthrie,2020GUTH01,5.67,7.37
DoncasterOpen2020,222,d,75,Thomas Feilden,2020FEIL01,6.44,7.46
DoncasterOpen2020,222,d,76,Mustafa Shahzad,2020SHAH11,7.52,7.85
DoncasterOpen2020,222,d,77,Archie Jack Crebbin,2019CREB01,6.12,8.11
DoncasterOpen2020,222,d,78,David Cooke,2020COOK03,7.74,8.62
DoncasterOpen2020,222,d,79,Abhinav Krishnan,2020KRIS04,7.31,8.76
DoncasterOpen2020,222,d,80,Mohamed Ba Ndour,2017NDOU01,4.43,8.89
DoncasterOpen2020,222,d,81,Alexander Snowball,2020SNOW03,7.05,8.93
DoncasterOpen2020,222,d,82,Jake William Shepherdson,2020SHEP01,7.66,9.2
DoncasterOpen2020,222,d,83,Alex Denny,2020DENN01,6.13,9.26
DoncasterOpen2020,222,d,84,Gregory Berrisford Sweet,2020SWEE01,8.52,9.32
DoncasterOpen2020,222,d,85,Alfie Scott,2019SCOT03,7.92,9.64
DoncasterOpen2020,222,d,86,Calum Griffiths,2020GRIF01,4.17,9.72
DoncasterOpen2020,222,d,87,Alex Heap,2020HEAP01,8.21,9.75
DoncasterOpen2020,222,d,88,Hemakesh Muddha,2020MUDD01,8.67,10.27
DoncasterOpen2020,222,d,89,Joseph Zaccaria,2019ZACC01,5.68,10.34
DoncasterOpen2020,222,d,90,Chris Bonnello,2019BONN05,9.46,10.58
DoncasterOpen2020,222,d,91,Harry Latham,2020LATH01,4.94,10.7
DoncasterOpen2020,222,d,92,Dominic Curtis,2020CURT02,9.07,10.85
DoncasterOpen2020,222,d,93,Dylan Manning,2020MANN01,8.15,11.2
DoncasterOpen2020,222,d,94,Luke McRitchie,2019MCRI01,5.54,11.59
DoncasterOpen2020,222,d,95,Alfie Whitehill,2020WHIT09,11.17,12.0
DoncasterOpen2020,222,d,96,Christopher Suter,2020SUTE01,9.73,12.33
DoncasterOpen2020,222,d,97,Rowan James Lodge,2019LODG02,10.12,12.81
DoncasterOpen2020,222,d,98,Sean Frederick Liad,2020LIAD01,9.94,12.82
DoncasterOpen2020,222,d,99,Aidan Chrispin,2020CHRI03,7.81,13.61
DoncasterOpen2020,222,d,100,Christopher Gatfield,2020GATF01,15.27,16.49
DoncasterOpen2020,222,d,101,Tyler Lloyd,2015LLOY02,14.52,17.46
DoncasterOpen2020,222,d,102,Ying Hao Seyhan,2020SEYH01,15.61,17.85
DoncasterOpen2020,222,d,103,Fraser Griffiths,2020GRIF02,9.44,21.35
DoncasterOpen2020,222,d,104,Oliver Weaver,2020WEAV01,20.58,25.06
DoncasterOpen2020,222,d,105,Jack Doran,2020DORA01,19.35,48.09
DoncasterOpen2020,222,d,106,Jakob Yau,2020YAUJ01,32.35,0.0
DoncasterOpen2020,222,d,107,Hoi San Tse,2020TSEH01,110.49,0.0
DoncasterOpen2020,222,f,1,Harry Savage,2013SAVA01,1.36,2.42
