Name,Country,Missed Chances
Jakob Gunnarsson,Sweden,3
Will Callan,USA,2
Shivam Bansal,India,2
Ujjawal Pabreja,India,2
Kai-Wen Wang (王楷文),Taiwan,1
Christopher Chi,USA,9
Maosheng Chen (陈茂盛),China,2
Daniel Vædele Egdal,Denmark,2
Martin Vædele Egdal,Denmark,3
Carter Kucala,USA,2
Nicolas Gertner,France,4
Xinyuan Fan (范歆远),China,3
Feihong Zhang (张费鸿),China,1
Daniel Goodman,USA,1
Luigi Soriano,USA,1
Kevin Gerhardt,Germany,1
Malte Ihlefeld,Germany,5
Daniel Wallin,Sweden,1
Ben Coppin,United Kingdom,1
Fabio Schwandt,United Kingdom,4
Chad Batten,USA,1
Kacper Rafalski,Poland,2
Szymon Jeziorski,Poland,3
Firstian Fushada (符逢城),Indonesia,7
Carlos Rill Garcia,Mexico,1
Ishaan Lal,USA,1
Teh Keng Foo (郑庆富),Malaysia,1
Mok Man Kit (莫文傑),Hong Kong,1
Yuhei Takagi (高木佑平),Japan,1
Yikuan Kan (阚亦宽),China,1
Ali Salavati (علی صلواتی),Iran,1
Yan Luo (骆彦),China,1
Laurids Abelsen Holm,Denmark,3
Theodor Nordstrand,Sweden,1
Bruno Fonsêca Coelho Lima,Brazil,1
Luiz Fellipe Oliuza Leal Silva,Brazil,1
Charlie Stark,United Kingdom,1
Tommy Kiprillis,Australia,5
Pavel Yushkevich,Belarus,1
Aleksandr Beznogov,Russia,1
Enzo Mattos,Brazil,1
Marlon de V. Marques,Brazil,1
Jan Zych,Poland,5
Jonatan Kłosko,Poland,2
Chang Hong Liang,Singapore,1
Ping-Yueh Huang (黃品越),Taiwan,1
Debartha Chakraborty,India,1
Dohyun Kim (김도현),Korea,1
Karam Al-Robaie,United Kingdom,2
Karol Zakrzewski,Poland,1
Nathan Dwyer,USA,1
Tomohiro Kobayashi (小林知広),Japan,2
AJ Kamal,USA,1
Zachary Ochs,USA,2
Ruei-Ying Huang (黃睿穎),Taiwan,1
Noah Kraft,Germany,1
Wilson Alvis (陈智胜),Indonesia,1
Joshua Hounslow,Australia,1
Mauro Moises López,Spain,1
