name,country,Overall
Rasmus Stub Detlefsen,Denmark,809
Bartłomiej Krokos,Poland,809
Alexey Zharikov,Russia,808
Brandon Poulton,United Kingdom,808
William Jensen,Sweden,807
DongSu Park (박동수),Korea,807
Liam Wadek,New Zealand,806
Cole Campbell,New Zealand,805
Malte Ihlefeld,Germany,805
Jan Zych,Poland,804
Zayd Chaudhry,Australia,804
Jakub Hamkało,Poland,804
Braden Richards,USA,803
Patrick Kleverlaan,Australia,803
Vicenzo Guerino Cecchini,Brazil,802
Ben Kirby,New Zealand,801
Kit Clement,USA,801
Yunqi Ouyang (欧阳韵奇),China,801
Phoenix Patterson,Australia,801
Simon Kellum,USA,800
Ryan Wu,Canada,799
Jared Stinson,USA,799
David Vujasić,Croatia,798
Alexander Bashutkin,Russia,797
Luca Stalpers,Netherlands,794
Matthew Sieredzinski,Australia,794
Cheng-Ru Yang,New Zealand,794
Wayne Pi,Taiwan,792
Sheng Cao (曹晟),China,791
Martin Fronescu,Romania,791
Brayden Wroten,USA,790
Paul Mahvi,USA,790
Alessandro Nicolì,Italy,790
Jason Ostdiek,USA,790
Caleb Clark,Australia,790
Calvin Nielson,USA,789
Alexander Botz,Germany,789
Tom Nelson,New Zealand,788
Hill Pong Yong Feng,Malaysia,787
Maxim Ilin,Russia,787
Zeke Mackay,USA,786
Conlan Trace,USA,785
Piotr Olszewski,Poland,785
Kim Min (김민),Korea,784
Jacob Ambrose,USA,783
Isaac Langer,USA,783
Will Callan,USA,783
Matthew Prestwich,United Kingdom,782
Alexey Kislovskiy,Russia,782
Ming Dao Ting,Australia,782
Tyler Robinson,USA,782
Knut Skaug Haraldsen,Norway,781
Lee Stanton-Barnett,New Zealand,781
Ivan Lew Yi Wen (刘义文),Malaysia,781
Alexis Rodrigo Cazu Mendoza,Mexico,780
Ethan Pan,New Zealand,780
Marquez Phan,Australia,779
Bryan Eng,Australia,779
James Molloy,United Kingdom,778
Yunke Zhang (张云柯),China,778
Jason Harley,United Kingdom,777
Kanting Shi (史勘霆),China,777
Manuel Gutman,Argentina,776
Natthaphat Mahtani (ณัฐภัทร จี มาทานี),Thailand,775
Pavlo Bondar (Павло Бондар),Ukraine,775
Lachlan Stephens,Australia,774
Ho Hsieh (謝合),Taiwan,774
Magnus Søndergaard Byrne,Denmark,773
Katie Hull,USA,773
Nicolas Gertner,France,773
Manuel Prieto de Antón,Spain,772
Kajetan Opach,Poland,771
Akash Rupela,India,771
George Scholey,United Kingdom,770
Daniel Goodman,USA,770
Darren Siew Ee Yaang (蕭奕暘),Malaysia,770
Will Russo,USA,769
Paris Dorn,Canada,766
William Gan Wei Ren (颜伟仁),Malaysia,766
Mihály Horváth,Hungary,765
Will Gurnett,Australia,764
Riley Woo,USA,764
Daniel Rose-Levine,USA,763
Kymberlyn Calderon,USA,763
Ethan Stevens,Australia,763
Alwin Rölz,Switzerland,762
Krish Shah-Nathwani,USA,762
Vilius Ribinskas,Lithuania,761
Alaik Bhatia,India,761
Mikus Lembergs,Latvia,761
Niclas Mach,Germany,761
Sergey Marin (Сергей Марьин),Russia,760
Christopher Chi,USA,760
Samir Homsi,Turkey,759
Christopher Sun,USA,759
Luke Van Laningham,USA,759
Christian König,Germany,759
Ahmet Çınar Ablak,Turkey,758
János Bereczki,Romania,758
Oliver Castledine,United Kingdom,758
Kyeongmin Choi,Korea,757
Tam Quan,Australia,757
Daniel Mullen,USA,757
Mengfei Shen (沈梦非),China,757
Oscar Watson,Australia,756
Sam van Vliet,Australia,755
Keenan Johnson,USA,755
Tripp Peters,USA,755
Luke Garrett,USA,755
Shih-Hao Wang (王士豪),Taiwan,755
Ivan Torgashov (Иван Торгашов),Russia,755
Ishaan Lal,USA,754
Kai Roff,United Kingdom,754
Steven Kearns,United Kingdom,754
Darby Lee,Australia,753
Will Cerne,USA,752
Elvin Thorsen,Sweden,750
Xinjie Shi (施鑫杰),China,750
Charlie van Ooran,Australia,750
Yunhao Lou (娄云皓),China,749
Assylkhan Meirkhanov (Асылхан Мейрханов),Kazakhstan,748
Swami Srinivasan,Australia,747
Tomohiro Kobayashi (小林知広),Japan,747
Francisco Hamlin,Argentina,747
Roan Paone,Canada,747
Danila Ryabinin,Russia,746
Joe Davis,Australia,746
Michael Young,USA,745
Wilson Alvis (陈智胜),Indonesia,745
Jack Maddigan,New Zealand,744
Ray Zhang (张灏睿),Australia,744
Peri Le Dain,USA,744
Wilhelm Kilders,Germany,743
Callum Goodyear,United Kingdom,743
Choi Hyo-jin (최효진),Korea,743
Ivan Li Ka Leong (李嘉亮),Hong Kong,743
Kate Grahame,USA,743
Szymon Brzana,Poland,743
Ang Chin Zhen (洪靖程),Malaysia,743
Łukasz Dubicki,Poland,742
Preston Duke,USA,742
Jakub Grzybowski,Poland,742
Vincent Chen,USA,742
Zachary White,USA,741
Bhargav Narasimhan,India,741
Antoine Cantin,Canada,741
Parker Trager,USA,741
Tristan Chua Yong,Singapore,740
Leon Tran,Australia,740
Robert Alden,United Kingdom,740
Charlie Stark,United Kingdom,740
Xavier Smith,Australia,740
Hargun Singh Tikku,India,740
Chris Choi,USA,740
Linus Laurén,Finland,739
Ethan Davis,USA,739
Eva Kato,USA,738
Owen Widdis,USA,737
Jaden Lim,Philippines,737
Zachary Ochs,USA,737
Przemysław Rogalski,Poland,737
Diego Brizuela Crespo,Mexico,736
Zayn Khanani,USA,736
Joseph Williams,United Kingdom,736
Bradley Sampson,USA,735
Mark Boyanowski,USA,734
Magnus Patrick Kanstrup,Denmark,734
Jack Cai,Australia,733
Aset Agabekov (Асет Агабеков),Kazakhstan,733
Jack Love,Australia,732
Ivan Polkanov (Иван Полканов),Russia,732
Fabian Löhle,Switzerland,732
Tommy Szeliga,USA,731
Frederico Canal Gomes,Brazil,731
Ben Baron,Israel,731
Corey Sakowski,USA,731
Linus Frész,Germany,731
Ping-Yueh Huang (黃品越),Taiwan,730
Vladyslav Hryniuk (Владислав Гринюк),Ukraine,729
Livia Kleiner,USA,729
Darcy Andrikonis,Australia,729
Jaemin Chang (장재민),Korea,729
Abhijeet Ghodgaonkar,India,728
Timo Norrkniivilä,Finland,727
Kyra Joiner,USA,727
Tyler Howlett,USA,726
Jonathan Pang,Australia,726
Michael Conard,USA,725
Michael Larsen,USA,725
Luigi Soriano,USA,725
Cormac Farrell,United Kingdom,724
Damir Zhanataev (Дамир Жанатаев),Kazakhstan,724
Volodymyr Korol (Володимир Король),Ukraine,724
Ray Bai,USA,723
Kevin Matthews,Canada,723
Steve Greer,USA,722
Marco Rota,Italy,722
Szabolcs Szántai,Hungary,722
Yunliang Zhang (张赟量),China,722
Ihor Sukhovatenko (Ігор Суховатенко),Ukraine,720
Iurii Chesnokov (Юрий Чесноков),Russia,720
Zhe Wang (王哲),China,720
Nicholas Patterson,Canada,719
Bautista Bonazzola,Argentina,719
Matic Omulec,Slovenia,719
Mykhailo Lagoida (Михайло Лагойда),Ukraine,718
Joaquin Abarca,Canada,718
Christopher Connolly,Canada,718
Grigoriy Barashkin,Russia,718
Matthew Cook,Australia,718
Bertie Longden,United Kingdom,717
Cory Yurkovic,USA,717
Louis Cormier,Canada,717
Jose Polorhenzo Aquino,Philippines,716
Marcel Ručigaj,Slovenia,716
Akshaansh Chilakapati,India,716
Danny SungIn Park,Korea,716
Aiden Bartlett,USA,715
Daniel Sheppard,United Kingdom,715
Jiazhou Li (李佳洲),China,714
Manuel Bühler,Switzerland,714
Chengyang Song (宋成阳),China,713
Angeline Wijaya (黃千儀),Indonesia,713
Dominik Fürer,Switzerland,713
Santino Maiorino,USA,712
Alexander Mutch,Canada,710
Richard Yiheng Tao,New Zealand,709
Erik Akkersdijk,Netherlands,709
Brian Johnson,USA,709
Conor Sullivan,Australia,708
Eason Siew Ee Son (蕭奕晨),Malaysia,707
Marcus Moberg,Sweden,707
Matěj Grohmann,Czech Republic,706
Tijmen van der Ree,Netherlands,706
Isaac Latta,New Zealand,706
Mitchell Lane,USA,706
Mannessah Kani,Australia,705
Hassan Khanani,USA,705
Semen Artyukhov,Russia,704
Juliette Sébastien,France,704
Chenhao Sun (孙晨皓),China,704
Stephen Bohner,USA,704
Elian Beguec,France,703
José Antonio Navarro Sánchez,Spain,703
Mikhail Kuzin,Russia,703
Damian Wilding,USA,703
Sam Sieracki,Australia,702
Joanna Hołdakowska,Poland,702
Sébastien Auroux,Germany,701
Yerkin Assylbek,Kazakhstan,701
Wilfrid Py,France,700
Yuji Yoshida,Philippines,700
Alexis Fedeler,Germany,700
Stephen Griggs,USA,699
Ryan Yasinko,Canada,699
Yifan Wang (王逸帆),China,699
Ilya Sokolov,Russia,698
Will Belote,USA,698
Vyacheslav Kochergin (Вячеслав Кочергин),Russia,697
Blake Thompson,USA,697
Jinseo Hong,Korea,697
Paweł Duraj,Poland,697
Asia Konvittayayotin (เอเชีย กรวิทยโยธิน),Thailand,696
Oscar Nieto,Colombia,696
Pavel Mesyatsev,Russia,696
Michael (謝富亦),Indonesia,696
Wojciech Knott,Poland,695
Lanshi Zhang (张岚石),China,694
Elyas Eyou,New Zealand,694
Ryan Driscoll,Australia,694
Gabriel Barrios,Guatemala,694
Marcus Kamen,USA,694
Sheldon Rego,India,693
Ko Youngjin (고영진),Korea,693
Luke Tycksen,USA,692
Luis Kleinheinz,Germany,692
Jakub Drobný,Slovakia,691
Isaac Myers,USA,691
Bo-Yu Lin (林柏佑),Taiwan,691
Midas Kiebert,Netherlands,690
Kacper Paweł Dworak,Poland,689
Chris Deng,USA,688
Muhammad Saleh Imtiaz,Pakistan,688
Jolo Endona,Philippines,688
Igor Aipkin,Uzbekistan,688
Diego Alfonso,France,688
Travis Burkett,USA,687
Evgeniy Mazhara,Russia,687
Andreas Jensen Forsgren,Norway,687
Manfred Siew Ee Sheng (蕭奕晟),Malaysia,687
Gerard McGinley,Australia,687
Artyom Martirosov,Russia,686
Dylan Swarts,South Africa,686
Samuel Fang,USA,686
Leonard Wetzel,Germany,685
Gjorgji Cheshmedjievski,North Macedonia,685
Lichao Liu (刘立超),China,685
Pedro Giuseppe Garcia Milla,Peru,685
Lim Chun Yik,Malaysia,685
Carter Thomas,USA,684
Szymon Malinowski,Poland,684
Martin Brath,Germany,684
Adam Chodyniecki,Poland,684
José Leonardo Chaparro Prieto,Colombia,683
Mason Langenderfer,USA,683
Anthony Rochester,Australia,683
Mitchell Hum,USA,682
Sebastian Bock,Australia,682
Henry Lichner,USA,681
Ivan Krueger,USA,680
Michael Nielsen,USA,680
Dániel Varga,Hungary,680
Joonas Silvennoinen,Finland,679
Ari Randers-Pehrson,USA,679
Abhimanyu Singhal,India,678
Pranav Prabhu,India,677
Luka Jankovic,Serbia,677
Anqi Yu,Bulgaria,677
James Hildreth,USA,677
Ernur Ersayynov,Kazakhstan,676
Anthony Lafourcade,France,676
Michael Tripodi,Australia,676
Cary Huang,USA,676
Mateusz Gil,Poland,675
Tomáš Nguyen,Vietnam,675
Peter Preston,USA,675
Armando Dian,Malaysia,674
Remo Pihel,Estonia,674
Linus Kunath,Germany,674
Mok Man Kit (莫文傑),Hong Kong,674
Davis Pogor,USA,674
Aston Culf,Australia,673
John Brechon,USA,673
Theo Iván Goluboff,Argentina,673
Katie Davies,United Kingdom,673
Mats Valk,Netherlands,673
Mihnea Andrei Panţu,Romania,672
Stephen Waller,United Kingdom,672
Brenton Angelo Lo Wong,Philippines,672
Jiazheng Zhao (赵家正),China,672
Francis Daniels Veğeris,Latvia,672
Zach Amiridis,Australia,671
Dmitry Matthew Yaquinto,Russia,671
Ting Sheng Bao Yang,Spain,671
Guido Dipietro,Argentina,670
Luca Brasini,Italy,670
Oliver Wheat,United Kingdom,670
Einar Kvam Lundberg,Norway,670
Will Newhoff,USA,670
Samuel Knoll,USA,670
Edward Vakula,USA,669
Francisco Moraes Mandalozzo,Brazil,669
Ben Keogh,Ireland,669
John Gaynor,USA,668
Shao-Heng Hung (洪紹恆),Taiwan,668
Lee Zhi Xuan,Malaysia,668
Andy Denney,USA,668
Dan Tran,USA,668
Kim Roger Høyland Larsen,Norway,668
Daniel Fraser,New Zealand,668
Tim Reynolds,USA,668
Amelie Dieterich,Germany,668
Modest Podzolkin,Ukraine,668
Simon Westlund,Sweden,668
CJ Sheng,USA,668
Hannah Minas,Switzerland,667
Rui-Jun Liu (劉睿鈞),Taiwan,667
Emilio Alberto Rodríguez Jiménez,Mexico,667
Pavel Galaktionov,Russia,667
Dongzhe Li (李东哲),China,667
Bartosz Karpiński,Poland,666
Sebastiano Tronto,Italy,666
Marco Manno,Italy,665
Finn Trass,New Zealand,665
Yuhang Sun (孙煜航),China,665
Zhichun Li (李志纯),China,665
Aamir Saifee,India,665
Darcy Way,Australia,665
Ákos Dél,Hungary,665
Pedro Henrique de Jesus Silva,Brazil,664
Gabriel Santiago Velez Gonzalez,Colombia,664
Anuar Miguel Abib Onofre,Brazil,664
Sebastian Werb,Germany,664
Rūdolfs Vīnkalns,Latvia,664
Levente Swanepoel,New Zealand,664
Xulang Li (黎旭朗),China,663
Yu Feng (冯煜),China,663
Patrick Ponce,USA,663
James Golding,United Kingdom,663
Krystian Załuski,Poland,663
Federico Da Fonseca,Argentina,663
Yen-Pin Xiao (蕭彥平),Taiwan,662
Cade Beck,USA,661
Piotr Tokarski,Poland,661
Marcus Siu,United Kingdom,661
Zak Kenny,Australia,661
Leo Hock-Morris,Australia,661
Mikołaj Salamon,Poland,661
Joel Lundström,Sweden,661
Vladyslav Zhydkov (Владислав Жидков),Ukraine,660
Jeremy Benik,USA,659
Toni Beljo,Croatia,659
Ashley Foster,New Zealand,659
Matteo Dummar,Italy,659
Daniel Gutierrez,USA,659
Lim Hung (林弘),Malaysia,659
Pavel Eroshkin (Павел Ерошкин),Russia,658
Dylan Wang,Canada,658
Ruben Grobler,South Africa,658
Sandy Aaron Jones,France,658
Doyul Kim (김도율),Korea,658
Timur Imanov,Russia,658
Daniel Porter,USA,658
Maxim Brednev (Максим Бреднев),Russia,658
Akmal Abduazizov,Uzbekistan,658
Nikita Popkov,Russia,658
Brandon Lin,USA,658
Vishwa Sankar,USA,657
Maksym Yeli (Максим Єлі),Ukraine,657
Nicolás Sánchez,USA,657
Will Fairfax,New Zealand,656
Jan van Dorst,Netherlands,656
Kristóf Veres,Hungary,656
Sam Jacklin,United Kingdom,656
Peter Grassard,France,656
Charlie Harrison,United Kingdom,656
Eric Pesci,USA,656
James Macdiarmid,New Zealand,655
Chan Hay Yin (陳希言),Hong Kong,655
Mark Bennis,Netherlands,655
Connor Yungbluth,USA,655
Xujia Lei (雷旭嘉),China,655
Yibo Wang (王奕博),China,655
Ivo Stoutjesdijk,Netherlands,655
Ricardo Olea Catalán,Germany,655
Milo Black,USA,655
Muhtasim Al Farabi,Bangladesh,654
Henry Savich,USA,654
Max Walaszek,USA,654
Daniel Yakhkind,Israel,654
Jeff Miao,China,654
Keaton Ellis,USA,654
Brandon Pierel,USA,654
Erik Kippus,Estonia,654
Adam Łyskawa,Poland,654
Bowen Xiao (肖博文),China,654
Rustin Haderlie,USA,654
Dominik Vidaković,Croatia,653
Edward Rust,Australia,653
Paul Taylor,USA,653
Enzo Mattos,Brazil,653
Ivan Miletić,Serbia,653
Mikhail Ivashechkin,Russia,653
Justin Barker,USA,653
Lorenzo Vigani Poli,Italy,653
William Tao,Australia,652
Stepan Anisimov (Степан Анисимов),Russia,652
Mathias Søndergaard Byrne,Denmark,652
Sei Sugama (洲鎌星),Japan,652
Damiano Di Paola,Italy,651
Andrew Sherman,Australia,651
Jack Stewart,USA,651
Nikolay Vasilyev,Russia,651
Dmitry Kryuzban,Russia,651
Jesús Fernando Castelán Gómez,Mexico,651
Alexei Sinyavin,USA,650
Marco Yang,Canada,650
Ekaterina Kaneva,Russia,650
Carson Deibert,Canada,650
Brandon Harris,New Zealand,649
Angel Torres Perez,Mexico,649
Pranav Veera,USA,649
Junqi Feng (冯骏骐),China,649
Carlos Méndez García-Barroso,Spain,649
Daan Baartmans,Netherlands,649
Kevin Min,Korea,649
Matthew Bidwell,USA,649
Linus Buck,Germany,649
Julen Simón Iriarte,Spain,649
Abdullah Gulab,Pakistan,649
Roberts Dreijers,Latvia,648
Choi Go-Ho (최고호),Korea,648
Shu-Yii Luo (駱書翊),Taiwan,647
Diego Alejandro Casas Jimenez,Colombia,647
Shek Ho Hin (石灝軒),Hong Kong,647
Yu-Kai Chen (陳宇楷),Taiwan,647
Daniël Kassab,Netherlands,647
Aolin Tang (唐奥林),China,647
Amos Nordman,Finland,647
Leonid Shcherbakov (Леонид Щербаков),Russia,647
Ethan Basanov,Canada,647
Rami Sbahi,USA,646
Ibrahim Khanani,USA,646
Carson Claud,USA,646
Zabir Bin Moaj,Bangladesh,646
Alikhan Yertursyn (Алихан Ертурсын),Kazakhstan,645
Daniel Guardado Cabral,Mexico,645
Simone Ohler,Germany,645
Andrii Vasyliev (Андрій Васильєв),Ukraine,644
Hannes Müller,Germany,644
Zejun Chen (陈泽鋆),China,644
Noé Bourdon,France,644
Eben Quenneville,USA,643
Diego Fraile,France,643
Brody Lassner,USA,643
Benjamin Grzesiak,United Kingdom,643
Sam Adams,USA,643
Lucas Buckley,Australia,642
Gabriel Marczak,Poland,642
Nicholas Paul,Australia,642
Celine Tran,Norway,641
Axel Uriel Sánchez Zúñiga,Mexico,641
Joe Labas,Australia,641
Cameron Jones,United Kingdom,641
Daniel Greigg,USA,641
Eddy Deturche,France,640
Ethan Rusnak,Canada,640
Mattia Furlan,Italy,640
Ace Djun T. Aguirre Jr.,Philippines,640
Mahith Bandi,USA,640
Jules Desjardin,France,639
Kari Hyttinen,Finland,639
Vladimir Tikhonenko (Владимир Тихоненко),Russia,639
Zhenyu Wang (王振宇),China,639
Taosif Amin Sahil,Bangladesh,639
Christian Manuel de Lange,New Zealand,638
Bill Wang,Canada,638
Jason Lee,USA,638
Zishuo Zhang (张子硕),China,638
Carter Audet Marrero,USA,638
Fred Lang,United Kingdom,638
Michał Halczuk,Poland,637
Nathan Nairn,Australia,637
Kyle Van Straaten,Canada,637
Daniel Escobar,Guatemala,637
Felipe Medel,Chile,637
Ruimin Yan (颜瑞民),China,637
Jacob Oliver Bruun,Norway,637
Samuel Simko,Slovakia,637
Andrey Kolevatykh (Андрей Колеватых),Russia,637
Riley Workman,USA,637
Muhammad Syahmi,Malaysia,636
Vladislav Kozhin,Russia,636
Islam Kitiev,Russia,636
Stepan Makarenko,Russia,636
Yuhei Takagi (高木佑平),Japan,636
Abylai Orazalin (Абылай Оразалин),Kazakhstan,636
Harry Owen,United Kingdom,635
Shukrullo Ibragimov,Tajikistan,635
Sameer Sethuram,USA,635
Burak Erdil Biçer,Turkey,635
Levi Gibson,USA,635
Taine Cassar,Australia,635
Luke Burong,Australia,634
Reto Bubendorf,Switzerland,634
Adriel Wiebe,USA,634
Clay Moore,USA,634
Chengxiang Cui (崔程翔),China,634
Milhouse Gibbons-Paul,United Kingdom,634
Oliver Fisk,United Kingdom,633
Yuri de Oliveira,Brazil,633
Charles Jerome,USA,633
Kunal Oak,India,633
Ryan Jew,USA,633
Jhon Edinson Arias Parra,Colombia,632
Christopher Morris,United Kingdom,632
Luca Rizzi,Switzerland,632
Taylor Cookmeyer,USA,632
Jonathan Mauroy,Belgium,632
Stian Nystad Østli,Norway,632
Marcos Meibel Corral Murillo,Mexico,631
Jeremy Sheng,USA,631
Jun-Po Ni (倪君寶),Taiwan,631
Nevins Chan Pak Hoong (陈百鸿),Malaysia,631
David Arzamastsev,Russia,631
Oleg Liven,Russia,631
Andreas Lambropoulos,USA,630
Kristian Gil Caragan,Philippines,630
Nikita Loika,Belarus,630
Isaac Wells,Australia,630
Owen Brooks,USA,629
Marek Majerik,Slovakia,629
Aleksandr Beznogov,Russia,629
Hector David Martinez Argaez,Colombia,629
Gabriel Lincon Souza,Brazil,628
Yap Jia Yang,Malaysia,628
Qingze Li (李庆泽),China,627
Dylan Cossin,USA,627
Danila Rogozhnikov (Данила Рогожников),Russia,627
Vincent Chan,Netherlands,627
Thompson Clarke,Canada,627
Hubert Badocha,Poland,626
Antonio López,Spain,626
Lauren Phung,USA,626
Juan de Dios Noriega Sánchez,Mexico,626
Nicholas Tan Jun Wei,Malaysia,626
Filip Nilsen,Norway,626
Shubham Maharana,India,626
Carter Bitz,USA,626
Mihai Căpăţinescu,Romania,626
Lauri Korhonen,Finland,625
Kirby Jay Caragan,Philippines,625
Grigoriy Shumakov,Russia,625
Jēkabs Janovs,Latvia,625
Tyler Johnson,USA,625
Dylan Baumbach,USA,624
Michael Muething,USA,624
Andrew Tan Jing Bang,Singapore,624
Ryan Pin Harry,Canada,624
Tyler Hicks,USA,624
Nicolas Harper,USA,623
Eric Waldbillig,USA,623
Daniel Evans,United Kingdom,622
Ramses Amaya,Colombia,622
Christian Angelo Araneta Naguio,Philippines,622
Heejun Kim (김희준),Korea,622
Li Chak Kwan (李澤堃),Hong Kong,622
Timur Mavlyanov,Uzbekistan,622
Darya Belonogova,Russia,622
Bokang Peng (彭博康),China,622
He-Ping Zheng (鄭和平),Taiwan,622
Pavel Kovirzin (Павел Ковырзин),Russia,622
Gregory Lopez,USA,621
Wong Kin Lok (黃健樂),Hong Kong,621
Eli Parker,USA,621
Izan Cantero Herrera,Spain,621
Jonathan Blöcher,Germany,621
Ying Lin (林颖),China,621
Tom Noble,Australia,620
Christopher G. Argueta,USA,620
Loic Chiang,Singapore,620
Jason Zheng,USA,620
Yannic Waser,Switzerland,619
Justin He,Australia,619
Chen-Pin Sun (孫振斌),Taiwan,619
Cameron Stollery,Australia,619
Joe Yang,USA,619
Andrii Lushpak (Андрій Лушпак),Ukraine,619
Ewsey Obzherin,Russia,619
Abdelhak Kaddour,France,619
Frederiks Rūdolfs Kronbergs,Latvia,618
Kirill Levchuk (Кирилл Левчук),Russia,618
Ricardo Zapata Cruz,Venezuela,618
Aniketh Arya,India,618
Meng-Yi Li (李孟一),Taiwan,618
Genaro Sahib Leguizamon,Argentina,618
Lucas Kuczaj,Canada,618
Trần Đăng Quang,Vietnam,618
Ian Southa,USA,618
Luiz Fellipe Oliuza Leal Silva,Brazil,618
Jérôme Carlier,Belgium,618
Ujjawal Pabreja,India,618
Tomáš Zatroch,Slovakia,618
Alex Walker,USA,617
Alvaro Haidar Ersha,Indonesia,617
Joseph Norton,USA,617
Oleg Gritsenko,Russia,617
Evan Mann,USA,617
Mattias Uvesten,Sweden,617
Aleksander Arefiew,Poland,617
Johnathan Starkey,Australia,617
Mingzhi Da (达明志),China,616
Calven Lipec,Australia,615
Logan Day-Richter,USA,615
Fletcher Berry,USA,615
Justin Choi,USA,615
Lei Liu (刘磊),China,614
Andrew Nathenson,USA,614
Raúl Cuevas Castillo,Spain,614
Mikhail Kopylov (Михаил Копылов),Russia,614
Jonathan Tilahun,USA,613
Pessi Ansaranta,Finland,613
Joseph Tudor,United Kingdom,613
Carl Emil Exner,Denmark,613
Aidan McKenzie,USA,613
Jonas Rongé,Belgium,613
Jack Bellomy,USA,613
Cendy Cahyo Rahmat,Indonesia,612
Axel Brisse,France,612
Maxime Madrzyk,France,612
Mikhail Sartakov,Russia,612
Konstantin Jaehne,Germany,612
Alex Davani,USA,612
Xinyang Li (李昕洋),China,611
Niko Ronkainen,Finland,611
Aleksa Radovanović,Serbia,611
Aryan Kejriwal,USA,611
Jonathan Esparaz,Canada,611
Joey Cavanagh,Australia,610
Lalith Sashank,India,610
Shenghai Fang (方胜海),China,610
Wojciech Szatanowski,Poland,610
Tomasz Pietruszka,Poland,610
Ilya Epifanov,Russia,610
Feilong Tang (唐飞龙),China,610
Yongtao Sun (孙永涛),China,610
Cheung-Hao Tu,United Kingdom,609
Lachlan Malcolm,Australia,609
Pacifico Rodriguez,Switzerland,609
Viktor Kalmar,Austria,609
Carlo Glod,Luxembourg,609
Justin Gou,USA,609
Elliott Kobelansky,Canada,609
